difficulty,length,name,platform,rating,sales,type1,type2
2.97,44.52,The Crew,ps4,3.59,200,racing,None
3.12,31.07,Dishonored: Definitive Edition,ps4,3.98,200,action,adventure
2.92,20.36,Persona 5: Dancing in Starlight,ps4,3.73,100,action,None
3.29,57.53,Battle Chasers: Nightwar,ps4,4.03,100,role-playing,None
3.79,73.14,Elite: Dangerous,ps4,4.09,100,simulation,None
3.28,22.77,Resident Evil: Revelations,ps4,3.88,100,action,adventure
3.15,76.73,Rock Band 4,ps4,3.78,100,action,None
3.65,17.61,The Legend of Korra,ps4,3.46,100,action,adventure
2.1,13.55,Murdered: Soul Suspect,ps4,3.28,200,action,adventure
2.94,80.0,The Legend of Heroes: Trails of Cold Steel IV,ps4,4.28,200,role-playing,None
2.56,41.7,LEGO Marvel Super Heroes 2,ps4,3.94,100,action,None
2.51,73.66,Super Robot Taisen V,ps4,4.29,100,strategy,None
3.21,48.83,Dissidia: Final Fantasy NT,ps4,3.47,200,action,None
3.86,78.29,Divinity: Original Sin Enhanced Edition,ps4,3.93,200,role-playing,None
2.88,31.17,Marvel vs. Capcom: Infinite,ps4,2.98,200,action,None
2.19,23.15,The LEGO Movie Videogame,ps4,3.69,100,action,adventure
3.04,37.01,Bloodstained: Ritual of the Night,ps4,4.26,500,action,None
2.84,23.22,Call of Duty: Infinite Warfare,ps4,3.17,200,action,None
2.93,50.78,Mad Max,ps4,3.76,500,action,adventure
1.87,20.4,Life is Strange 2,ps4,3.52,100,action,adventure
3.83,24.24,This War of Mine: The Little Ones,ps4,3.74,100,action,adventure
2.93,23.23,Tomb Raider: Definitive Edition,ps4,4.17,500,action,adventure
3.15,71.15,Rogue Galaxy,ps4,4.0,200,role-playing,None
1.37,5.57,Erica,ps4,3.06,100,adventure,None
3.41,12.55,Broforce,ps4,3.67,200,action,None
3.13,80.0,Final Fantasy XIV Online: A Realm Reborn,ps4,4.18,500,role-playing,None
3.34,57.41,Killing Floor 2,ps4,3.66,100,action,None
2.98,45.24,Battlefield 4,ps4,3.74,1000,action,None
3.43,22.15,Blasphemous,ps4,3.95,100,action,None
2.74,30.2,LittleBigPlanet 3,ps4,3.54,500,action,None
3.06,54.22,Ghost of Tsushima,ps4,4.27,500,action,adventure
3.68,11.92,Resogun,ps4,3.83,500,action,None
3.03,79.72,Red Dead Online,ps4,2.98,100,action,adventure
3.08,55.63,Call of Duty: Black Ops 4,ps4,3.18,200,action,None
3.19,37.3,Mortal Kombat X,ps4,4.01,1000,action,None
2.22,36.62,LEGO Jurassic World,ps4,3.94,100,action,adventure
3.28,60.61,Yakuza 3 Remastered,ps4,3.65,200,action,adventure
3.05,67.52,NBA 2K14,ps4,3.81,200,sports,None
2.84,36.51,Spyro Reignited Trilogy,ps4,4.22,500,miscellaneous,None
3.03,54.39,Shenmue I &amp; II,ps4,4.12,200,miscellaneous,None
2.83,29.83,Call of Duty: Advanced Warfare,ps4,3.44,500,action,None
2.98,50.83,One Piece: Pirate Warriors 4,ps4,4.1,100,action,None
2.45,13.02,Sonic Forces,ps4,2.89,200,action,None
2.93,57.27,Atelier Sophie: The Alchemist of the Mysterious Book,ps4,3.83,200,role-playing,None
3.79,80.0,Monster Hunter: World - Iceborne Master Edition,ps4,4.32,100,role-playing,None
2.86,11.14,Assassin's Creed IV: Black Flag - Freedom Cry,ps4,3.54,200,action,adventure
3.04,18.63,Knack,ps4,3.22,500,action,adventure
1.53,11.71,Game of Thrones: A Telltale Games Series,ps4,3.43,200,adventure,None
2.8,38.99,Assassin's Creed Syndicate,ps4,3.75,500,action,adventure
3.11,10.17,Strider,ps4,3.57,200,action,adventure
3.85,23.41,The Evil Within,ps4,3.77,1000,action,adventure
4.09,48.52,Hollow Knight,ps4,4.01,100,action,None
4.47,17.51,Super Meat Boy,ps4,3.62,100,action,None
3.29,36.36,Tropico 5,ps4,3.55,100,strategy,None
3.39,19.3,Tetris Effect,ps4,4.09,100,puzzle,None
3.09,17.11,Metro: 2033 Redux,ps4,3.75,100,action,None
3.12,76.56,Borderlands: The Handsome Collection,ps4,4.23,500,miscellaneous,None
3.03,53.93,NieR: Automata,ps4,4.38,1000,role-playing,None
3.05,18.56,Fighting EX Layer,ps4,3.05,100,action,None
2.92,44.0,Plants vs Zombies: Garden Warfare,ps4,3.8,200,action,None
2.95,34.63,Need for Speed,ps4,3.4,200,racing,None
2.47,13.86,Heavy Rain,ps4,3.59,200,adventure,None
2.12,19.97,Goat Simulator,ps4,3.14,100,simulation,None
2.94,7.88,Octodad: Dadliest Catch,ps4,3.6,100,adventure,None
3.14,55.89,Dead or Alive 5 Last Round,ps4,4.1,500,action,None
3.54,14.58,Streets of Rage 4,ps4,4.02,200,action,None
2.92,10.93,Apotheon,ps4,3.35,100,action,None
3.64,43.97,Mega Man Legacy Collection 2,ps4,4.28,100,miscellaneous,None
3.9,49.84,Devil May Cry HD Collection,ps4,4.06,100,miscellaneous,None
1.63,15.46,The Walking Dead: A Telltale Games Series - The Complete First Season,ps4,4.28,200,adventure,None
3.21,55.84,Gundam Versus,ps4,3.78,100,simulation,None
3.29,33.64,Ys Origin,ps4,3.87,100,role-playing,None
4.01,72.8,Dark Souls II: Scholar of the First Sin,ps4,4.14,1000,role-playing,None
2.96,80.0,Kingdoms of Amalur: Re-Reckoning,ps4,3.91,100,role-playing,None
3.34,27.99,Lords of the Fallen,ps4,3.27,500,role-playing,None
3.06,80.0,Persona 5,ps4,4.54,1000,role-playing,None
4.04,70.93,Let It Die,ps4,3.82,200,role-playing,None
2.96,65.63,Samurai Warriors 4 Empires,ps4,3.95,100,action,None
2.29,18.6,One Piece: Burning Blood,ps4,2.7,200,action,None
3.76,21.06,Bound by Flame,ps4,3.11,200,role-playing,None
2.78,68.39,Final Fantasy XV,ps4,3.79,1000,role-playing,None
3.13,45.94,Uncharted: The Nathan Drake Collection,ps4,4.22,1000,miscellaneous,None
3.13,15.56,Uncharted 2: Among Thieves Remastered,ps4,3.95,100,action,adventure
3.96,51.42,Helldivers,ps4,3.83,200,action,None
3.05,47.57,Middle-earth: Shadow of War,ps4,3.69,200,action,adventure
2.73,51.34,Okami HD,ps4,4.24,200,action,adventure
2.92,36.36,Watch Dogs,ps4,3.58,1000,action,adventure
4.17,67.78,Enter the Gungeon,ps4,3.88,100,action,None
2.75,65.74,Dynasty Warriors 8 Empires,ps4,3.9,200,action,None
3.6,55.88,Code Vein,ps4,3.76,200,role-playing,None
2.91,74.93,Toukiden 2,ps4,4.03,100,role-playing,None
2.71,29.32,JoJo's Bizarre Adventure: Eyes of Heaven,ps4,3.65,100,action,None
2.78,21.44,Persona 3: Dancing in Moonlight,ps4,3.7,100,action,None
3.08,29.66,Yooka-Laylee,ps4,3.43,100,action,None
3.2,52.89,Rocket League,ps4,4.16,500,sports,None
2.94,72.13,Final Fantasy XV: Royal Edition,ps4,3.88,200,role-playing,None
2.52,25.64,South Park: The Stick of Truth,ps4,4.14,200,role-playing,None
2.17,3.34,flOw,ps4,3.01,100,miscellaneous,None
3.34,12.05,Fez,ps4,3.59,200,action,None
2.94,55.91,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,ps4,3.98,500,action,None
3.57,22.68,Velocity 2X,ps4,3.69,100,action,None
2.75,25.7,Call of Duty: Ghosts,ps4,3.14,500,action,None
2.55,13.72,Stories: The Path of Destinies,ps4,3.62,100,role-playing,None
3.31,26.54,Star Wars Jedi: Fallen Order,ps4,3.79,500,action,adventure
2.85,17.52,A Plague Tale: Innocence,ps4,3.85,100,action,adventure
2.93,37.57,Marvel's Spider-Man,ps4,4.3,1000,action,adventure
2.94,64.48,Grand Theft Auto V,ps4,4.33,1000,action,adventure
2.86,43.3,NHL 15,ps4,2.97,100,sports,None
3.12,14.84,Uncharted 3: Drake's Deception Remastered,ps4,3.87,100,action,adventure
3.14,80.0,Dragon's Dogma: Dark Arisen,ps4,4.28,200,role-playing,None
3.34,15.33,Oddworld: Abe's Oddysee - New 'n' Tasty,ps4,3.9,100,action,None
3.61,78.41,Kingdom Come: Deliverance,ps4,3.79,200,role-playing,None
3.13,50.71,Subnautica,ps4,3.71,100,adventure,None
3.04,80.0,Gundam Breaker 3,ps4,4.28,200,action,None
2.86,67.35,Samurai Warriors 4,ps4,4.13,200,action,None
3.31,34.56,Ultimate Marvel vs. Capcom 3,ps4,4.08,100,action,None
3.13,43.01,Street Fighter V,ps4,3.29,1000,action,None
1.48,9.7,Batman: The Telltale Series,ps4,3.58,200,adventure,None
2.61,12.96,Until Dawn,ps4,3.99,1000,adventure,None
2.67,39.92,Trials of Mana,ps4,4.1,200,role-playing,None
2.86,52.25,Sword Art Online: Lost Song,ps4,3.85,200,role-playing,None
2.42,70.62,Ni no Kuni II: Revenant Kingdom,ps4,3.89,500,role-playing,None
3.14,43.71,Madden NFL 16,ps4,3.66,100,sports,None
2.28,31.88,LEGO The Hobbit,ps4,3.77,100,action,adventure
3.21,15.0,Sonic Mania,ps4,4.21,500,action,None
4.02,33.93,The Witness,ps4,3.89,200,adventure,None
1.59,7.3,Doki-Doki Universe,ps4,2.88,100,miscellaneous,None
3.01,11.42,Resident Evil 3,ps4,3.68,500,action,adventure
2.77,80.0,The Legend of Heroes: Trails of Cold Steel III,ps4,4.28,200,role-playing,None
2.7,71.75,Minecraft: PlayStation 4 Edition,ps4,4.1,500,action,adventure
2.98,25.0,DmC: Devil May Cry Definitive Edition,ps4,3.65,200,action,adventure
1.86,4.12,Journey,ps4,4.03,500,action,None
3.26,57.46,NBA 2K18,ps4,2.63,100,sports,None
4.27,64.79,Bloodborne: Complete Edition,ps4,4.32,500,role-playing,None
3.48,8.93,Bloodstained: Curse of the Moon,ps4,4.07,100,action,None
3.06,12.82,MediEvil,ps4,3.92,100,action,adventure
3.02,61.13,Shining Resonance Refrain,ps4,3.64,100,role-playing,None
3.38,41.46,Devil May Cry 4: Special Edition,ps4,4.12,500,action,adventure
2.97,12.55,Uncharted: The Lost Legacy,ps4,4.05,500,action,adventure
2.95,13.83,Bastion,ps4,3.84,200,role-playing,None
4.17,65.7,Dark Souls III,ps4,4.34,1000,role-playing,None
3.02,57.71,Borderlands 3,ps4,3.8,200,action,None
3.21,47.44,BlazBlue: Central Fiction,ps4,4.11,100,action,None
2.7,41.85,Saints Row IV: Re-Elected,ps4,3.74,100,action,adventure
3.1,42.63,Battlefield 1,ps4,3.88,500,action,None
4.5,50.82,Sekiro: Shadows Die Twice,ps4,4.17,500,action,adventure
3.75,77.48,7 Days to Die,ps4,3.44,100,action,adventure
1.97,18.25,Life is Strange,ps4,4.12,1000,action,adventure
3.14,53.3,Grand Theft Auto: San Andreas,ps4,4.28,200,action,adventure
2.93,41.16,Watch Dogs 2,ps4,3.67,500,action,adventure
1.98,4.72,The Unfinished Swan,ps4,3.46,100,adventure,None
2.98,24.81,Call of Duty: WWII,ps4,3.4,200,action,None
3.55,36.78,Street Fighter: 30th Anniversary Collection,ps4,3.74,100,miscellaneous,None
3.8,42.0,Remnant: From the Ashes,ps4,3.63,100,action,None
3.04,45.87,SoulCalibur VI,ps4,3.83,500,action,None
2.98,26.55,Onechanbara Z2: Chaos,ps4,3.75,200,action,adventure
3.01,28.12,Saint Seiya: Soldiers' Soul,ps4,4.04,100,action,None
3.17,62.54,FIFA 18,ps4,3.47,100,sports,None
2.42,4.41,Platinum Demo: Final Fantasy XV,ps4,3.22,100,role-playing,None
3.02,6.91,Day of the Tentacle Remastered,ps4,3.65,100,adventure,None
3.5,65.5,Project CARS,ps4,3.71,100,racing,None
4.51,49.58,Darkest Dungeon,ps4,4.13,100,role-playing,None
1.86,4.8,Layers of Fear,ps4,3.62,100,adventure,None
2.84,19.53,Dust: An Elysian Tail,ps4,3.87,200,action,None
4.39,54.95,Spelunky,ps4,3.41,100,action,None
2.08,10.31,Valiant Hearts: The Great War,ps4,3.93,200,action,None
3.51,77.6,Metal Gear Solid V: The Definitive Experience,ps4,4.13,100,miscellaneous,None
2.92,54.47,FIFA 17,ps4,3.53,100,sports,None
3.3,61.94,Fortnite,ps4,3.17,200,action,None
4.01,33.32,Rogue Legacy,ps4,3.99,200,action,None
3.16,12.82,Uncharted: Drake's Fortune Remastered,ps4,3.56,100,action,adventure
2.96,31.48,Godzilla,ps4,3.39,100,action,adventure
2.88,64.84,One Piece: Pirate Warriors 3,ps4,4.13,200,action,None
2.98,38.48,Resident Evil 6,ps4,3.54,200,action,adventure
2.94,38.06,Just Cause 4,ps4,3.16,100,action,adventure
3.03,80.0,Dragon Age: Inquisition - Game of the Year Edition,ps4,4.06,100,role-playing,None
4.29,10.18,Furi,ps4,3.81,200,action,adventure
3.07,70.72,Ni no Kuni: Wrath of the White Witch Remastered,ps4,4.04,100,role-playing,None
3.15,18.82,Shadow Warrior,ps4,3.79,100,action,None
3.55,25.64,Darksiders III,ps4,3.4,200,action,adventure
3.12,16.97,God of War III Remastered,ps4,4.02,500,action,adventure
2.88,35.96,I Am Setsuna,ps4,3.77,200,role-playing,None
3.99,75.11,Nioh,ps4,4.19,1000,role-playing,None
2.52,9.56,The Order: 1886,ps4,3.22,1000,action,adventure
3.34,80.0,Kingdom Hearts: The Story So Far,ps4,4.22,100,miscellaneous,None
2.07,16.51,Beyond: Two Souls,ps4,3.52,200,adventure,None
3.07,54.76,Tom Clancy's The Division,ps4,3.53,500,action,None
2.97,59.44,Madden NFL 17,ps4,3.67,100,sports,None
2.88,21.32,inFamous: Second Son,ps4,3.98,1000,action,adventure
3.2,35.11,Mortal Kombat XL,ps4,4.03,200,action,None
3.38,24.75,Catherine: Full Body,ps4,3.99,100,action,adventure
2.73,79.74,Dragon Quest Builders 2,ps4,4.28,200,action,adventure
2.73,17.49,Shantae: Half-Genie Hero,ps4,4.06,100,action,None
2.73,36.56,The Outer Worlds,ps4,3.81,200,role-playing,None
3.02,25.2,Thief,ps4,3.27,500,action,adventure
2.87,57.38,WWE 2K17,ps4,3.67,200,sports,None
1.52,5.52,The Playroom,ps4,2.76,100,miscellaneous,None
3.31,68.56,Valkyria Chronicles 4,ps4,4.22,200,strategy,None
2.16,9.74,Concrete Genie,ps4,3.57,100,adventure,None
3.6,35.44,Prey,ps4,3.89,200,role-playing,None
3.15,7.51,CounterSpy,ps4,3.36,100,action,None
2.86,39.17,Shenmue III,ps4,3.6,100,action,adventure
3.05,73.53,Overwatch,ps4,4.02,1000,action,None
2.89,13.0,Jak and Daxter: The Precursor Legacy,ps4,4.03,100,action,None
3.29,28.26,Metro Redux,ps4,3.88,200,miscellaneous,None
3.11,69.45,Grand Kingdom,ps4,3.87,200,strategy,None
3.55,55.85,Dragon Ball: Xenoverse,ps4,4.01,1000,action,None
3.31,17.15,Axiom Verge,ps4,4.1,200,action,None
2.93,53.55,Yakuza 6: The Song of Life,ps4,4.15,200,action,adventure
3.08,11.21,ETHER One,ps4,2.69,100,adventure,None
3.31,80.0,Kingdom Hearts HD I.5 + II.5 Remix,ps4,4.33,500,miscellaneous,None
2.96,10.43,SOMA,ps4,3.9,200,action,adventure
3.14,62.77,Gran Turismo Sport,ps4,3.51,200,racing,None
2.66,22.77,Persona 4: Dancing All Night,ps4,3.79,100,action,None
3.11,80.0,Sword Art Online Re: Hollow Fragment,ps4,4.03,200,role-playing,None
3.01,69.18,MLB The Show 16,ps4,4.07,100,sports,None
2.81,31.35,The Last of Us Part II,ps4,3.16,1000,action,adventure
3.12,32.25,Rayman Legends,ps4,4.09,200,action,None
2.18,5.79,Never Alone,ps4,3.38,100,action,None
2.89,58.67,Ys IX: Monstrum Nox,ps4,4.12,100,role-playing,None
3.01,80.0,Dragon Age: Inquisition,ps4,4.07,1000,role-playing,None
2.94,56.83,NBA 2K17,ps4,3.72,100,sports,None
3.04,67.12,Super Robot Taisen OG: The Moon Dwellers,ps4,4.19,100,strategy,None
2.94,52.5,Warriors All-Stars,ps4,3.62,100,action,None
3.61,78.58,Romance of the Three Kingdoms XIII,ps4,3.77,100,strategy,None
3.1,36.35,Middle-earth: Shadow of Mordor,ps4,4.04,1000,action,adventure
3.04,71.13,NBA 2K15,ps4,3.87,200,sports,None
2.88,66.04,Final Fantasy VII,ps4,4.34,500,role-playing,None
3.84,64.69,Hatsune Miku: Project Diva Future Tone,ps4,4.27,100,action,None
3.29,42.94,Grand Theft Auto III,ps4,3.85,100,action,adventure
3.08,48.59,Rebel Galaxy,ps4,3.67,100,action,adventure
3.64,46.59,EA Sports UFC 2,ps4,3.5,100,sports,None
3.89,13.5,Hotline Miami,ps4,3.94,200,action,adventure
3.06,56.02,BioShock: The Collection,ps4,4.29,200,miscellaneous,None
3.0,12.85,Undertale,ps4,4.03,200,role-playing,None
3.18,16.53,Iconoclasts,ps4,3.67,100,action,None
1.56,6.05,Firewatch,ps4,3.78,200,adventure,None
2.97,78.02,Warriors Orochi 3 Ultimate,ps4,4.25,200,action,None
3.3,37.9,For Honor,ps4,3.35,200,action,adventure
3.35,80.0,The Witcher 3: Wild Hunt,ps4,4.46,1000,role-playing,None
3.53,14.7,Dead Nation: Apocalypse Edition,ps4,3.3,200,action,None
3.15,11.08,Metal Gear Solid V: Ground Zeroes,ps4,3.74,1000,action,adventure
2.74,34.34,Secret of Mana,ps4,3.65,200,role-playing,None
3.73,41.86,Mercenary Kings,ps4,3.41,200,action,None
3.53,43.85,Fall Guys: Ultimate Knockout,ps4,3.42,200,miscellaneous,None
3.38,21.97,Resident Evil 2,ps4,4.34,1000,action,adventure
2.94,65.28,Atelier Firis: The Alchemist and the Mysterious Journey,ps4,3.83,100,role-playing,None
3.7,23.43,Styx: Master of Shadows,ps4,3.1,100,action,adventure
3.03,63.08,Tales of Zestiria,ps4,3.59,1000,role-playing,None
3.0,23.5,Titanfall 2,ps4,4.13,500,action,None
3.58,45.6,Crash Team Racing: Nitro-Fueled,ps4,4.03,200,racing,None
3.86,26.55,Mega Man Legacy Collection,ps4,4.22,200,miscellaneous,None
2.74,11.42,Astro Bot: Rescue Mission,ps4,4.29,100,action,adventure
3.43,49.43,Ultra Street Fighter IV,ps4,4.02,100,action,None
3.46,67.76,Dead by Daylight,ps4,3.49,200,action,adventure
2.91,36.97,Sleeping Dogs: Definitive Edition,ps4,3.99,200,action,adventure
3.87,25.84,DOOM Eternal,ps4,4.05,200,action,None
2.4,21.11,Detroit: Become Human,ps4,4.04,500,adventure,None
2.85,34.88,Mafia III,ps4,3.28,200,action,adventure
4.12,73.3,Dark Souls III: The Fire Fades Edition,ps4,4.29,200,role-playing,None
2.56,33.56,Senran Kagura Burst Re:Newal,ps4,3.29,100,action,None
2.68,27.41,Senran Kagura: Peach Beach Splash,ps4,3.59,200,action,None
3.06,41.51,Dragon Ball FighterZ,ps4,4.01,500,action,None
3.14,80.0,Dark Cloud 2,ps4,4.24,200,role-playing,None
3.08,58.74,Dragon Ball: Xenoverse 2,ps4,4.01,1000,action,None
2.94,76.65,Fallout 4,ps4,3.99,1000,role-playing,None
3.17,39.94,Tony Hawk's Pro Skater 1 + 2,ps4,4.23,100,sports,None
2.96,63.16,Megadimension Neptunia VII,ps4,4.13,200,role-playing,None
3.91,80.0,Divinity: Original Sin II - Definitive Edition,ps4,4.23,100,role-playing,None
3.13,45.82,Injustice 2,ps4,4.06,500,action,None
4.14,22.13,Celeste,ps4,4.1,100,action,None
3.07,45.98,Kingdom Hearts HD 2.8 Final Chapter Prologue,ps4,4.03,500,role-playing,None
2.57,7.39,A King's Tale: Final Fantasy XV,ps4,3.18,100,action,None
2.97,43.24,Attack on Titan,ps4,3.81,100,action,None
3.72,20.71,Wolfenstein II: The New Colossus,ps4,3.73,200,action,None
2.99,71.6,Tokyo Xanadu eX+,ps4,3.94,200,role-playing,None
3.16,17.76,Killzone: Shadow Fall,ps4,3.35,1000,action,None
2.67,67.51,Dead or Alive Xtreme 3: Fortune,ps4,3.98,200,sports,None
2.65,51.45,LEGO Harry Potter Collection,ps4,3.99,100,miscellaneous,None
3.15,74.38,MLB 14: The Show,ps4,4.03,100,sports,None
2.85,80.0,Persona 5 Royal,ps4,4.43,1000,role-playing,None
2.83,49.53,Fate/Extella: The Umbral Star,ps4,3.76,200,action,None
3.13,80.0,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,ps4,4.25,100,role-playing,None
2.99,80.0,Final Fantasy XII: The Zodiac Age,ps4,4.29,1000,role-playing,None
3.08,17.1,Metro: Last Light Redux,ps4,3.73,100,action,None
3.3,71.63,God Eater 2: Rage Burst,ps4,4.02,200,role-playing,None
2.86,12.21,Lara Croft and the Temple of Osiris,ps4,3.41,200,action,adventure
3.29,51.69,Friday the 13th: The Game,ps4,3.34,200,action,adventure
3.19,57.54,Sega Genesis Classics,ps4,3.98,100,miscellaneous,None
3.0,59.14,Judgment,ps4,4.16,200,action,adventure
2.22,9.43,The Dark Pictures Anthology: Man of Medan,ps4,3.03,100,adventure,None
2.5,33.55,LEGO DC Super-Villains,ps4,3.83,100,action,adventure
2.96,10.74,Hellblade: Senua's Sacrifice,ps4,4.0,200,action,adventure
4.03,52.28,Hollow Knight: Voidheart Edition,ps4,4.32,100,action,None
3.81,63.01,Wasteland 2: Director's Cut,ps4,3.79,100,role-playing,None
3.37,19.35,Resident Evil 0: HD Remaster,ps4,3.77,200,action,adventure
2.91,21.15,Mirror's Edge Catalyst,ps4,3.39,200,action,adventure
3.31,72.22,Terraria,ps4,4.15,200,action,adventure
3.01,21.85,Uncharted 4: A Thief's End,ps4,4.3,1000,action,adventure
2.98,76.48,The Legend of Heroes: Trails of Cold Steel II,ps4,4.28,200,role-playing,None
2.97,50.82,Odin Sphere Leifthrasir,ps4,4.3,500,role-playing,None
